sample_index,environment,path_num,method,lr,step,obstacle,curvature,curvature_max,out_of_bound,endpoint,weighted_obstacle,weighted_curvature,weighted_out_of_bound,weighted_endpoint,feasible,smoothness,jerk,quality,total,cost,dangerous_ratio,unsafe_margin_ratio,min_esdf,path_length,curvature_violation_ratio,control_oob_ratio,control_oob_max
34,env000099,0,R,0.03,50,2.626312494277954,0.0,0.9846746325492859,0.0,0.007189219817519188,2.626312494277954,0.0,0.0,0.007189219817519188,2.6335017681121826,0.0006599756306968629,0.00014818587806075811,0.00014818587806075811,2.6335017681121826,2.6335017681121826,0.10000000149011612,0.12999999523162842,-0.985522449016571,17.248512268066406,0.0,0.0,0.0
35,env000082,19,R,0.03,50,1.873825192451477,1.5492651462554932,3.894265651702881,0.0,0.07367870956659317,1.873825192451477,0.3873162865638733,0.0,0.07367870956659317,2.33482027053833,0.0022008437663316727,0.0009433661471121013,0.0009433661471121013,2.33482027053833,2.33482027053833,0.05999999865889549,0.05999999865889549,-0.8586007952690125,12.123371124267578,0.2551020383834839,0.0,0.0
36,env000099,14,R,0.03,50,0.06863663345575333,1.6550567150115967,5.086678981781006,0.0,0.27712732553482056,0.06863663345575333,0.41376417875289917,0.0,0.27712732553482056,0.7595281600952148,0.0029064787086099386,0.0009900847217068076,0.0009900847217068076,0.7595282793045044,0.7595282793045044,0.0,0.0,0.25820642709732056,20.659923553466797,0.0714285746216774,0.0,0.0
37,env000062,8,R,0.03,50,1.7829087972640991,1.284111738204956,4.232308864593506,0.0,0.011975332163274288,1.7829087972640991,0.321027934551239,0.0,0.011975332163274288,2.1159119606018066,0.0036649350076913834,0.003201556159183383,0.003201556159183383,2.1159121990203857,2.1159121990203857,0.05999999865889549,0.10000000149011612,-0.6242237091064453,21.047208786010742,0.10204081982374191,0.0,0.0
38,env000098,5,R,0.03,50,1.8701893091201782,0.20758876204490662,1.7885125875473022,0.0,0.013859022408723831,1.8701893091201782,0.051897190511226654,0.0,0.013859022408723831,1.9359455108642578,0.0016454111319035292,0.0006975883152335882,0.0006975883152335882,1.9359456300735474,1.9359456300735474,0.05999999865889549,0.05999999865889549,-0.8939804434776306,19.230552673339844,0.13265305757522583,0.0,0.0
39,env000073,13,R,0.03,50,2.0866525173187256,2.3157291412353516,6.664597034454346,0.0,0.05405409634113312,2.0866525173187256,0.5789322853088379,0.0,0.05405409634113312,2.7196388244628906,0.0021790002938359976,0.0012198499171063304,0.0012198499171063304,2.7196390628814697,2.7196390628814697,0.10000000149011612,0.20999999344348907,-0.5388821959495544,13.231695175170898,0.11224489659070969,0.0,0.0
40,env000082,13,R,0.03,50,0.4756259620189667,0.0,1.3832145929336548,0.0,0.009642613120377064,0.4756259620189667,0.0,0.0,0.009642613120377064,0.48526856303215027,0.0004124368424527347,0.0001976388448383659,0.0001976388448383659,0.48526859283447266,0.48526859283447266,0.019999999552965164,0.029999999329447746,-0.31112024188041687,14.290847778320312,0.0,0.0,0.0
41,env000062,16,R,0.03,50,2.3086295127868652,0.6322984099388123,4.69651460647583,0.0,0.021480640396475792,2.3086295127868652,0.15807460248470306,0.0,0.021480640396475792,2.488184690475464,0.002518672263249755,0.001373838633298874,0.001373838633298874,2.488184928894043,2.488184928894043,0.09000000357627869,0.10999999940395355,-0.7720407247543335,19.916601181030273,0.040816325694322586,0.0,0.0
42,env000062,11,R,0.03,50,1.49268639087677,0.04146282747387886,1.6902397871017456,0.0,0.28640633821487427,1.49268639087677,0.010365706868469715,0.0,0.28640633821487427,1.7894585132598877,0.0007572472677566111,0.00035460316576063633,0.00035460316576063633,1.7894585132598877,1.7894585132598877,0.05000000074505806,0.05000000074505806,-0.7710758447647095,17.611085891723633,0.010204081423580647,0.0,0.0
43,env000076,19,R,0.03,50,0.001854720409028232,0.0,1.1921603679656982,0.0,0.00387719483114779,0.001854720409028232,0.0,0.0,0.00387719483114779,0.0057319151237607,0.001728603383526206,0.0009792436612769961,0.0009792436612769961,0.005732012912631035,0.005732012912631035,0.0,0.0,0.63376784324646,21.997509002685547,0.0,0.0,0.0
44,env000093,16,R,0.03,50,0.1551171839237213,0.07030997425317764,1.620762586593628,0.0,0.013940947130322456,0.1551171839237213,0.01757749356329441,0.0,0.013940947130322456,0.18663562834262848,0.0005849403678439558,0.000295919191557914,0.000295919191557914,0.18663565814495087,0.18663565814495087,0.0,0.019999999552965164,0.014513084664940834,18.879777908325195,0.030612245202064514,0.0,0.0
45,env000065,12,R,0.03,50,0.0017291908152401447,0.14243999123573303,1.6987566947937012,0.0,0.0010738385608419776,0.0017291908152401447,0.03560999780893326,0.0,0.0010738385608419776,0.03841302543878555,0.0033841910772025585,0.0019097047625109553,0.0019097047625109553,0.038413215428590775,0.038413215428590775,0.0,0.0,0.4827912747859955,23.724857330322266,0.040816325694322586,0.0,0.0
46,env000070,14,R,0.03,50,0.4210864007472992,0.0,1.1636340618133545,0.0,0.11732861399650574,0.4210864007472992,0.0,0.0,0.11732861399650574,0.5384150147438049,0.0003826804459095001,0.00021609824034385383,0.00021609824034385383,0.5384150147438049,0.5384150147438049,0.019999999552965164,0.03999999910593033,-0.20000000298023224,15.111982345581055,0.0,0.0,0.0
