split,environment,path_num,condition_id,source_id,stage1_safe_cost,teacher_safe_cost,stage1_mode,teacher_mode,teacher_valid,B_cost_only_safe_cost,B_cost_only_mode,B_cost_only_recovery
train,env000050,1,28,1,5.622840404510498,2.071380138397217,0,1,True,1.5725722312927246,1,1.1404515504837036
train,env000050,1,28,2,5.462706565856934,1.9082610607147217,-1,-1,True,1.5697988271713257,1,1.0952222347259521
train,env000050,1,28,3,5.674055099487305,1.7571587562561035,-1,-1,True,1.5788042545318604,1,1.0455347299575806
train,env000032,4,29,0,0.49244335293769836,0.006706657353788614,-1,-1,True,0.04451138526201248,-1,0.9221703410148621
train,env000032,4,29,1,3.300473213195801,0.023341547697782516,-1,-1,True,0.05084843933582306,-1,0.9916064143180847
train,env000032,4,29,2,0.4482631981372833,0.016124097630381584,-1,-1,True,0.06837169826030731,-1,0.8790954351425171
train,env000032,4,29,3,2.876570224761963,0.02738890051841736,-1,-1,True,0.06360924243927002,-1,0.9872874617576599
heldout,env000017,2,30,0,4.070417404174805,0.5812411904335022,-1,-1,True,2.0607733726501465,-1,0.575965166091919
heldout,env000017,2,30,1,3.6958346366882324,0.549871027469635,-1,-1,True,1.4510443210601807,-1,0.7135461568832397
heldout,env000017,2,30,2,3.8539912700653076,0.7084817886352539,-1,-1,True,1.5556854009628296,-1,0.7306625247001648
heldout,env000017,2,30,3,3.9913370609283447,0.6394962668418884,-1,-1,True,1.586075782775879,-1,0.7175941467285156
heldout,env000077,4,31,0,1.474953055381775,0.17828230559825897,-1,-1,True,2.257796287536621,1,-0.603733241558075
heldout,env000077,4,31,1,1.426378846168518,0.16083604097366333,-1,-1,True,2.95894455909729,1,-1.210994839668274
heldout,env000077,4,31,2,1.5497924089431763,0.20736093819141388,-1,-1,True,2.35494327545166,1,-0.5997705459594727
heldout,env000077,4,31,3,0.9512587189674377,0.2560216784477234,-1,-1,True,3.1839823722839355,1,-3.211456775665283
heldout,env000090,2,32,0,4.808902740478516,2.465777635574341,-1,-1,True,4.717848777770996,-1,0.038860052824020386
