variant,environment,path_num,condition_id,source_id,teacher_condition_safe,teacher_candidate_safe,student_candidate_safe,recovery,relative_teacher_error,max_control_point_deviation_m,mode_keep_vs_stage1,mode_match_teacher,teacher_cost,student_cost,teacher_min_esdf,student_min_esdf,newly_unsafe_point_count,newly_unsafe_point_indices,student_max_violation_m
D_induced_coupling,env000017,2,60,0,False,False,False,0.36199262738227844,0.9668723940849304,1.196327567100525,True,True,0.5812413096427917,2.8073558807373047,-0.41082724928855896,-0.4678690433502197,13,4 5 6 7 24 26 27 28 29 30 92 93 94,0.4678690433502197
D_induced_coupling,env000017,2,60,1,False,False,False,0.3688373565673828,0.9350239634513855,1.1378889083862305,True,True,0.5498708486557007,2.5354833602905273,-0.40831851959228516,-0.4127964377403259,12,3 4 5 6 23 24 26 27 28 92 93 94,0.4127964377403259
D_induced_coupling,env000017,2,60,2,False,False,False,0.42796850204467773,0.9046551585197449,1.277906060218811,True,True,0.7084816098213196,2.507812023162842,-0.3922818601131439,-0.5439742803573608,11,3 4 5 6 29 30 31 32 92 93 94,0.5439742803573608
D_induced_coupling,env000017,2,60,3,False,False,False,0.4596322178840637,0.9172906279563904,1.0751864910125732,True,True,0.6394976377487183,2.45072078704834,-0.33868712186813354,-0.4651620388031006,9,4 5 6 26 27 30 92 93 94,0.4651620388031006
D_induced_coupling,env000077,4,61,0,True,True,False,0.22966112196445465,0.993209719657898,0.8435472249984741,True,True,0.17828918993473053,1.1771661043167114,0.02139652520418167,-0.27523043751716614,5,11 12 13 14 15,0.27523043751716614
D_induced_coupling,env000077,4,61,1,True,True,False,0.3815159499645233,0.9626002311706543,0.7814781069755554,True,True,0.16083785891532898,0.9435584545135498,0.05335596576333046,-0.20325013995170593,4,12 13 14 15,0.20325013995170593
D_induced_coupling,env000077,4,61,2,True,False,False,0.2580392360687256,0.973811686038971,0.7515948414802551,True,True,0.20736172795295715,1.2033977508544922,-0.013855921104550362,-0.2829868495464325,4,11 12 13 15,0.2829868495464325
D_induced_coupling,env000077,4,61,3,True,False,False,0.28216928243637085,0.9434441328048706,0.7062637805938721,True,True,0.25602665543556213,0.7550910115242004,-0.2123841494321823,-0.23931334912776947,2,16 17,0.23931334912776947
D_induced_coupling,env000090,2,62,0,False,False,False,-0.13596421480178833,1.0705668926239014,1.2947314977645874,True,True,2.465777635574341,5.127483367919922,-0.6967410445213318,-0.7231117486953735,25,16 17 18 22 23 30 31 32 33 34 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53,0.7231117486953735
D_induced_coupling,env000090,2,62,1,False,False,False,0.16085802018642426,1.0682566165924072,1.475052833557129,True,True,2.196930408477783,5.325870037078857,-0.6287423968315125,-0.8244399428367615,13,22 23 24 25 29 30 31 32 37 38 39 40 41,0.8244399428367615
D_induced_coupling,env000090,2,62,2,False,False,False,0.37098827958106995,1.1217509508132935,1.788172721862793,True,True,2.174522876739502,4.14619255065918,-0.8063240051269531,-0.5874069333076477,17,15 16 17 18 22 29 30 33 34 45 46 47 48 49 50 51 52,0.5874069333076477
D_induced_coupling,env000090,2,62,3,False,False,False,0.44953784346580505,1.1053377389907837,1.9319339990615845,True,True,2.2058701515197754,3.801605701446533,-0.7969640493392944,-0.6240370869636536,12,16 17 18 30 33 34 48 49 50 51 52 53,0.6240370869636536
